ble_id,mcsp,field,unit,passive_stream,ble_request_result,status,answered_as,sweep_2026_08_12,usb_2026_08_21
8B-18,0x0B18,ConnectModule.TRANSPORTATION_MODE_CONFIGURATION,,,not-available,NO_ROUTE_FOUND,READ_RESPONSE,refused,NO_ROUTE_FOUND
8B-19,0x0B19,ConnectModule.BATTERY_VOLTAGE,,,not-available,NO_ROUTE_FOUND,READ_RESPONSE,refused,NO_ROUTE_FOUND
8B-20,0x0B20,ConnectModule.EASTER_EGG,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
8B-21,0x0B21,ConnectModule.COMPONENT_LOCKED,,,not-available,DENIED,READ_RESPONSE,refused,NO_ROUTE_FOUND
8B-22,0x0B22,ConnectModule.COMPONENT_LOCK_CONFIGURATION,,,not-available,DENIED,READ_RESPONSE,refused,NO_ROUTE_FOUND
8B-25,0x0B25,ConnectModule.IN_SOFTWARE_INSTALLATION_STATE,,,command (not tested),,,,NO_ROUTE_FOUND
8B-27,0x0B27,ConnectModule.ACTIVATE,,,command (not tested),,,,DENIED
8B-28,0x0B28,ConnectModule.SEND_CONNECTION_ACKNOWLEDGE_TO_BACKEND,,,not-available,NO_ROUTE_FOUND,READ_RESPONSE,refused,DENIED
8B-29,0x0B29,ConnectModule.ALARM_FEATURE_ENABLED_CONFIGURATION,,,command (not tested),,,,NO_ROUTE_FOUND
8B-2A,0x0B2A,ConnectModule.ALARM_FEATURE_SETTINGS,,,not-available,NO_ROUTE_FOUND,READ_RESPONSE,refused,NO_ROUTE_FOUND
8B-2B,0x0B2B,ConnectModule.BOOTMANAGER_SOFTWARE_VERSION,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
8B-2C,0x0B2C,ConnectModule.BATTERY_STATUS,,,not-available,NO_ROUTE_FOUND,READ_RESPONSE,refused,NO_ROUTE_FOUND
8B-2D,0x0B2D,ConnectModule.LATEST_GNSS_TIMESTAMP,,,not-available,DENIED,READ_RESPONSE,refused,NO_ROUTE_FOUND
8B-2E,0x0B2E,ConnectModule.IS_SAMPLE_SOFTWARE,,,not-available,DENIED,READ_RESPONSE,refused,NO_ROUTE_FOUND
8B-2F,0x0B2F,ConnectModule.SHIPPING_MODE,,,not-available,NO_ROUTE_FOUND,READ_RESPONSE,refused,NO_ROUTE_FOUND
8B-30,0x0B30,ConnectModule.DISABLE_TRANSPORTATION_MODE,,,command (not tested),,,,DENIED
8B-31,0x0B31,ConnectModule.MODEM_FIRMWARE_VERSION,,,not-available,NO_ROUTE_FOUND,READ_RESPONSE,refused,NO_ROUTE_FOUND
8B-32,0x0B32,ConnectModule.BATTERY_CHARGING_STATUS,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
8B-33,0x0B33,ConnectModule.CONNECT_MODULE_FEATURE_PROPERTIES_RELEASE4,,,not-available,NO_ROUTE_FOUND,READ_RESPONSE,refused,DENIED
8B-35,0x0B35,ConnectModule.CONNECT_MODULE_STATIC_FEATURE_PROPERTIES,,,not-available,NO_ROUTE_FOUND,READ_RESPONSE,refused,DENIED
8B-36,0x0B36,ConnectModule.BACKEND_ENVIRONMENT,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
8B-37,0x0B37,ConnectModule.DEBUG_COMPONENT_STATE,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
8B-38,0x0B38,ConnectModule.FETCH_REMOTE_CONFIGURATION,,,not-available,NO_ROUTE_FOUND,READ_RESPONSE,refused,DENIED
8B-39,0x0B39,ConnectModule.REMOTE_CONFIGURATION_SETTINGS,,,not-available,NO_ROUTE_FOUND,READ_RESPONSE,refused,NO_ROUTE_FOUND
8B-3B,0x0B3B,ConnectModule.UNLOCK_COMPONENT,,,not-available,DENIED,READ_RESPONSE,refused,timeout
8B-3C,0x0B3C,ConnectModule.REMOTE_CONFIGURATION_DATA,,,not-available,DENIED,READ_RESPONSE,refused,NO_ROUTE_FOUND
8C-11,0x0C11,HeadUnit.REPORT_ISSUE,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
8C-12,0x0C12,HeadUnit.ISSUE_EVENT,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
8C-13,0x0C13,HeadUnit.ISSUE_VISUALIZATION_EVENT,,,not-available,UNSUPPORTED,READ_RESPONSE,refused,DENIED
8C-14,0x0C14,HeadUnit.EXECUTE_INFORMATION_MANAGER_COMMAND_IBD,,,command (not tested),,,,value
8C-15,0x0C15,HeadUnit.EXECUTE_INFORMATION_MANAGER_COMMAND_OEM,,,command (not tested),,,,value
8C-16,0x0C16,HeadUnit.EXECUTE_INFORMATION_MANAGER_COMMAND_SP,,,command (not tested),,,,value
8C-17,0x0C17,HeadUnit.EXECUTE_INFORMATION_MANAGER_COMMAND_BOSCH,,,command (not tested),,,,value
8C-18,0x0C18,HeadUnit.EXECUTE_INFORMATION_MANAGER_COMMAND_RIDER,,,command (not tested),,,,DENIED
8C-19,0x0C19,HeadUnit.UPDATE_ISSUE_VISUALIZATION,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
8C-1A,0x0C1A,HeadUnit.VISUALIZABLE_ISSUE_TYPES,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
8C-1B,0x0C1B,HeadUnit.ALL_ISSUE_VISUALIZATION_EVENTS,,yes,supported-empty,,SUBSCRIBE_RESPONSE,supported-empty,DENIED
8D-01,0x0D01,HeadUnit.SERIAL_NUMBER,,yes,value,,READ_RESPONSE,value,value
8D-02,0x0D02,HeadUnit.PART_NUMBER,,yes,value,,READ_RESPONSE,value,value
8D-03,0x0D03,HeadUnit.PRODUCT_CODE,,yes,value,,READ_RESPONSE,value,value
8D-04,0x0D04,HeadUnit.HARDWARE_VERSION,,yes,value,,READ_RESPONSE,value,value
8D-05,0x0D05,HeadUnit.HARDWARE_SOFTWARE_VERSION,,yes,value,,READ_RESPONSE,value,value
8D-06,0x0D06,HeadUnit.SOFTWARE_VERSION,,yes,value,,READ_RESPONSE,value,value
8D-07,0x0D07,HeadUnit.BOOTLOADER_SOFTWARE_VERSION,,yes,value,,READ_RESPONSE,value,value
8D-08,0x0D08,HeadUnit.MANUFACTURING_DATE,,yes,value,,READ_RESPONSE,value,value
